file index:0, before 2048:0.266, after 2048:0.266, before 256:0.887, after 256:0.900, cost:0.2667 min, ETA:29.0667 min,         Acc:0.266, Precision:0.130, Recall:1.000, F1:0.230,[TP:7, FP:47, TN:10, FN:0]
file index:1, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2000 min, ETA:21.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:2, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.1833 min, ETA:19.6167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:3, before 2048:0.984, after 2048:0.984, before 256:0.965, after 256:0.980, cost:0.2000 min, ETA:21.2000 min,         Acc:0.984, Precision:1.000, Recall:0.969, F1:0.984,[TP:31, FP:0, TN:32, FN:1]
file index:4, before 2048:1.000, after 2048:1.000, before 256:0.974, after 256:0.989, cost:0.1833 min, ETA:19.2500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:5, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.995, cost:0.1833 min, ETA:19.0667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:6, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.2000 min, ETA:20.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:7, before 2048:0.969, after 2048:0.969, before 256:0.981, after 256:0.997, cost:0.2000 min, ETA:20.4000 min,         Acc:0.969, Precision:1.000, Recall:0.939, F1:0.969,[TP:31, FP:0, TN:31, FN:2]
file index:8, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.997, cost:0.1833 min, ETA:18.5167 min,         Acc:0.984, Precision:1.000, Recall:0.969, F1:0.984,[TP:31, FP:0, TN:32, FN:1]
file index:9, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.1833 min, ETA:18.3333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:10, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.2000 min, ETA:19.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:11, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.1833 min, ETA:17.9667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:12, before 2048:0.828, after 2048:0.828, before 256:0.939, after 256:0.954, cost:0.2000 min, ETA:19.4000 min,         Acc:0.828, Precision:0.771, Recall:1.000, F1:0.871,[TP:37, FP:11, TN:16, FN:0]
file index:13, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.1833 min, ETA:17.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:14, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.997, cost:0.2000 min, ETA:19.0000 min,         Acc:0.984, Precision:0.981, Recall:1.000, F1:0.991,[TP:53, FP:1, TN:10, FN:0]
file index:15, before 2048:0.906, after 2048:0.906, before 256:0.954, after 256:0.969, cost:0.2000 min, ETA:18.8000 min,         Acc:0.906, Precision:0.891, Recall:1.000, F1:0.942,[TP:49, FP:6, TN:9, FN:0]
file index:16, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.1500 min, ETA:13.9500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:17, before 2048:1.000, after 2048:1.000, before 256:0.977, after 256:0.992, cost:0.2000 min, ETA:18.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:18, before 2048:1.000, after 2048:1.000, before 256:0.978, after 256:0.994, cost:0.2167 min, ETA:19.7167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:19, before 2048:1.000, after 2048:1.000, before 256:0.973, after 256:0.988, cost:0.2000 min, ETA:18.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:20, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.2000 min, ETA:17.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:21, before 2048:0.781, after 2048:0.781, before 256:0.940, after 256:0.954, cost:0.1833 min, ETA:16.1333 min,         Acc:0.781, Precision:0.741, Recall:1.000, F1:0.851,[TP:40, FP:14, TN:10, FN:0]
