file index:0, before 2048:0.484, after 2048:0.484, before 256:0.901, after 256:0.915, cost:0.3167 min, ETA:34.5167 min,         Acc:0.484, Precision:0.389, Recall:1.000, F1:0.560,[TP:21, FP:33, TN:10, FN:0]
file index:1, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2833 min, ETA:30.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:2, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.2833 min, ETA:30.3167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:3, before 2048:1.000, after 2048:1.000, before 256:0.973, after 256:0.988, cost:0.2667 min, ETA:28.2667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:4, before 2048:1.000, after 2048:1.000, before 256:0.979, after 256:0.994, cost:0.2833 min, ETA:29.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:5, before 2048:1.000, after 2048:1.000, before 256:0.979, after 256:0.995, cost:0.2667 min, ETA:27.7333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:6, before 2048:1.000, after 2048:1.000, before 256:0.979, after 256:0.994, cost:0.2667 min, ETA:27.4667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:7, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.996, cost:0.2667 min, ETA:27.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:8, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.2667 min, ETA:26.9333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:9, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.995, cost:0.2667 min, ETA:26.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:10, before 2048:0.984, after 2048:0.984, before 256:0.980, after 256:0.996, cost:0.2667 min, ETA:26.4000 min,         Acc:0.984, Precision:1.000, Recall:0.969, F1:0.984,[TP:31, FP:0, TN:32, FN:1]
