file index:0, before 2048:0.438, after 2048:0.438, before 256:0.902, after 256:0.917, cost:0.3333 min, ETA:36.3333 min,         Acc:0.438, Precision:0.333, Recall:1.000, F1:0.500,[TP:18, FP:36, TN:10, FN:0]
file index:1, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.2833 min, ETA:30.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:2, before 2048:1.000, after 2048:1.000, before 256:0.978, after 256:0.994, cost:0.4000 min, ETA:42.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:3, before 2048:1.000, after 2048:1.000, before 256:0.964, after 256:0.979, cost:0.4000 min, ETA:42.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:4, before 2048:1.000, after 2048:1.000, before 256:0.968, after 256:0.983, cost:0.4167 min, ETA:43.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:5, before 2048:1.000, after 2048:1.000, before 256:0.970, after 256:0.986, cost:0.4000 min, ETA:41.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:6, before 2048:0.984, after 2048:0.984, before 256:0.975, after 256:0.990, cost:0.3833 min, ETA:39.4833 min,         Acc:0.984, Precision:1.000, Recall:0.969, F1:0.984,[TP:31, FP:0, TN:32, FN:1]
file index:7, before 2048:1.000, after 2048:1.000, before 256:0.975, after 256:0.990, cost:0.4167 min, ETA:42.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:8, before 2048:1.000, after 2048:1.000, before 256:0.972, after 256:0.987, cost:0.4000 min, ETA:40.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:9, before 2048:1.000, after 2048:1.000, before 256:0.976, after 256:0.992, cost:0.4000 min, ETA:40.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:10, before 2048:1.000, after 2048:1.000, before 256:0.977, after 256:0.993, cost:0.4000 min, ETA:39.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
