file index:0, before 2048:0.203, after 2048:0.203, before 256:0.883, after 256:0.897, cost:0.4000 min, ETA:43.6000 min,         Acc:0.203, Precision:0.056, Recall:1.000, F1:0.105,[TP:3, FP:51, TN:10, FN:0]
file index:1, before 2048:0.969, after 2048:0.969, before 256:0.978, after 256:0.994, cost:0.3333 min, ETA:36.0000 min,         Acc:0.969, Precision:0.963, Recall:1.000, F1:0.981,[TP:52, FP:2, TN:10, FN:0]
file index:2, before 2048:1.000, after 2048:1.000, before 256:0.975, after 256:0.991, cost:0.3167 min, ETA:33.8833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:3, before 2048:1.000, after 2048:1.000, before 256:0.974, after 256:0.989, cost:0.3333 min, ETA:35.3333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:4, before 2048:1.000, after 2048:1.000, before 256:0.975, after 256:0.990, cost:0.3333 min, ETA:35.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:5, before 2048:1.000, after 2048:1.000, before 256:0.973, after 256:0.988, cost:0.3167 min, ETA:32.9333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:6, before 2048:1.000, after 2048:1.000, before 256:0.976, after 256:0.991, cost:0.3167 min, ETA:32.6167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:7, before 2048:1.000, after 2048:1.000, before 256:0.978, after 256:0.994, cost:0.3167 min, ETA:32.3000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:8, before 2048:1.000, after 2048:1.000, before 256:0.977, after 256:0.993, cost:0.3167 min, ETA:31.9833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:9, before 2048:1.000, after 2048:1.000, before 256:0.974, after 256:0.990, cost:0.3167 min, ETA:31.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
file index:10, before 2048:1.000, after 2048:1.000, before 256:0.976, after 256:0.991, cost:0.3333 min, ETA:33.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:31, FP:0, TN:33, FN:0]
